0;100
1;100
2;100
3;100
4;100
5;100
6;100
7;100
8;100
9;100
10;100
11;100
12;100
13;100
14;100
15;100
16;100
17;100
18;100
19;100
20;100
21;100
22;100
23;100
24;100
25;100
26;100
27;100
28;100
29;100
30;100
31;100
32;100
33;100
34;100
35;100
36;300
37;300
38;300
39;300
40;300
41;300
42;300
43;300
44;300
45;300
46;300
47;300
48;300
49;300
50;300
51;300
52;300
53;300
54;100
55;100
56;100
57;100
58;100
59;100
60;100
61;100
62;100
63;100
64;100
65;100
66;100
67;100
68;100
69;100
70;100
71;1500
72;1500
73;1500
74;1500
75;1500
76;1500
77;1500
78;1500
79;1500
80;2000
81;2000
82;2000
83;2000
84;2000
85;2000
86;2000
87;2000
88;2000
89;2000
90;2000
91;2000
92;100
93;100
94;100
95;100
96;100
97;100
98;100
99;100
100;100
101;300
102;300
103;300
104;300
105;500
106;500
107;500
108;2000
109;2000
110;2000
111;2000
112;2000
113;2000
114;1000
115;1000
116;1000
117;1500
118;1500
119;1500
120;1500
121;1500
122;1500
123;1500
124;1500
125;1500
126;2000
127;2000
128;2000
129;1000
130;1000
131;1000
132;1000
133;1000
134;1000
135;1000
136;300
137;300
138;300
139;300
140;300
141;300
142;300
143;300
